fixed_prob_counter memory usage
\begin{tabular}{llrl}
\hline
 Current Word             & Current Word Count   &   Memory Usage & \# Distinct Words   \\
\hline
                          &                      &             64 &                    \\
 bohre                    & 1                    &          15288 & 164                \\
 esel                     & 2                    &          15288 & 164                \\
 herr                     & 3                    &          15288 & 164                \\
 bohre                    & 2                    &          15288 & 164                \\
 esel                     & 3                    &          15288 & 164                \\
 herr                     & 4                    &          15288 & 164                \\
 gregorio                 & 7                    &          15288 & 164                \\
 sucht                    & 1                    &          15344 & 165                \\
 händel                   & 0                    &          15344 & 165                \\
 herr                     & 4                    &          15344 & 165                \\
 abraham                  & 4                    &          15344 & 165                \\
 händel                   & 0                    &          15344 & 165                \\
 herr                     & 5                    &          15376 & 165                \\
 nein                     & 3                    &          15376 & 165                \\
 herr                     & 6                    &          15376 & 165                \\
 simson                   & 12                   &          15376 & 165                \\
 händel                   & 0                    &          15376 & 165                \\
 sucht                    & 2                    &          15376 & 165                \\
 herr                     & 6                    &          15376 & 165                \\
 steh                     & 0                    &          15376 & 165                \\
 diensten                 & 0                    &          15376 & 165                \\
 bediene                  & 1                    &          15432 & 166                \\
 ebenso                   & 0                    &          15432 & 166                \\
 guten                    & 1                    &          15488 & 167                \\
 herrn                    & 1                    &          15544 & 168                \\
 abraham                  & 4                    &          15544 & 168                \\
 bessern                  & 1                    &          15600 & 169                \\
 simson                   & 13                   &          15600 & 169                \\
 wohl                     & 1                    &          15656 & 170                \\
 herr                     & 6                    &          15656 & 170                \\
 benvolio                 & 0                    &          15656 & 170                \\
 tritt                    & 1                    &          15656 & 170                \\
 gregorio                 & 8                    &          15656 & 170                \\
 sag                      & 1                    &          20328 & 171                \\
 bessern                  & 1                    &          20328 & 171                \\
 kommt                    & 0                    &          20328 & 171                \\
 vetter                   & 0                    &          20328 & 171                \\
 herrschaft               & 0                    &          20328 & 171                \\
 simson                   & 13                   &          20328 & 171                \\
 ja                       & 0                    &          20328 & 171                \\
 bessern                  & 2                    &          20328 & 171                \\
 herr                     & 7                    &          20328 & 171                \\
 abraham                  & 5                    &          20360 & 171                \\
 lügt                     & 0                    &          20360 & 171                \\
 simson                   & 13                   &          20360 & 171                \\
 zieht                    & 0                    &          20360 & 171                \\
 falls                    & 0                    &          20360 & 171                \\
 kerls                    & 0                    &          20360 & 171                \\
 seid                     & 1                    &          20416 & 172                \\
 frisch                   & 0                    &          20416 & 172                \\
 gregorio                 & 9                    &          20416 & 172                \\
 denk                     & 0                    &          20416 & 172                \\
 schwadronierhieb         & 1                    &          20488 & 173                \\
 fechten                  & 1                    &          20544 & 174                \\
 benvolio                 & 1                    &          20608 & 175                \\
 tritt                    & 2                    &          20608 & 175                \\
 benvolio                 & 1                    &          20608 & 175                \\
 narren                   & 0                    &          20608 & 175                \\
 fort                     & 1                    &          20664 & 176                \\
 steckt                   & 1                    &          20720 & 177                \\
 schwerter                & 1                    &          20784 & 178                \\
 wißt                     & 1                    &          20864 & 179                \\
 tut                      & 1                    &          20920 & 180                \\
 schlägt                  & 0                    &          20920 & 180                \\
 schwerter                & 2                    &          20920 & 180                \\
 nieder                   & 0                    &          20920 & 180                \\
 tybalt                   & 2                    &          20920 & 180                \\
 tritt                    & 2                    &          20920 & 180                \\
 tybalt                   & 3                    &          20920 & 180                \\
 ziehst                   & 1                    &          20976 & 181                \\
 verzagten                & 0                    &          20976 & 181                \\
